trial_id,assay,validity_status,scored,software_immobility_s,software_immobility_raw_s,software_mobility_s,software_mobility_bouts,unknown_frames_window,unknown_fraction_window,n_human_scorers,human_immobility_mean_s,human_immobility_min_s,human_immobility_max_s,human_range_s,human_scorers,human_playback_rates,bias_s,abs_bias_s,g8_pass,note
10mg_2周-ch1,TST,valid,True,143.56,153.4,216.44,16,1200,0.1333,2,216.10,193.04,239.17,46.13,王娟|陈璇,0.5,-72.54,72.54,False,
10mg_2周-ch2,TST,valid,True,240.92,246.68,119.08,25,2539,0.2821,2,238.14,237.70,238.58,0.88,王娟|陈璇,0.5,2.78,2.78,True,
10mg_2周-ch3,TST,valid,True,253.28,253.96,106.72,18,2388,0.2653,2,202.87,178.24,227.50,49.26,王娟|陈璇,0.5|1.0,50.41,50.41,False,
10mg_2周-ch4,TST,valid,True,108.36,117.68,251.64,17,791,0.0879,2,143.99,117.47,170.51,53.04,王娟|陈璇,0.5,-35.63,35.63,False,
20mg_1周_1-3+20_2周1-ch1,TST,valid,True,150.88,159.92,209.12,18,1272,0.1413,2,128.24,127.43,129.04,1.61,王娟|陈璇,0.5|1.0,22.64,22.64,False,
20mg_1周_1-3+20_2周1-ch2,TST,valid,True,220.12,224.96,139.88,17,2727,0.3030,2,220.06,215.32,224.80,9.48,王娟|陈璇,0.5,0.06,0.06,True,
20mg_1周_1-3+20_2周1-ch3,TST,valid,True,86.64,104.08,273.36,25,708,0.0787,2,39.90,36.80,43.00,6.20,王娟|陈璇,0.5|1.0,46.74,46.74,False,
20mg_1周_1-3+20_2周1-ch4,TST,valid,True,191.4,190.44,168.6,12,1731,0.1923,2,158.06,140.43,175.70,35.27,王娟|陈璇,0.5|1.0,33.34,33.34,False,
20mg_2周-ch1,TST,valid,True,258.24,262.56,101.76,20,2550,0.2833,2,204.06,184.01,224.11,40.10,王娟|陈璇,0.5|1.0,54.18,54.18,False,
20mg_2周-ch2,TST,valid,True,260.36,263.64,99.64,19,2833,0.3148,2,228.63,226.31,230.95,4.64,王娟|陈璇,0.25|0.5,31.73,31.73,False,
20mg_2周-ch3,TST,valid,True,149.44,155.92,210.56,23,954,0.1060,2,133.85,116.23,151.47,35.24,王娟|陈璇,0.5,15.59,15.59,True,
20mg_2周-ch4,TST,valid,True,177.52,182.4,182.48,15,2317,0.2574,2,197.79,181.62,213.96,32.34,王娟|陈璇,0.5|1.0,-20.27,20.27,False,
20mg_3周-ch1,TST,valid,True,271.12,272.76,88.88,14,3118,0.3464,2,210.47,177.07,243.86,66.79,王娟|陈璇,0.5|1.0,60.66,60.66,False,
20mg_3周-ch2,TST,valid,True,196.44,198.92,163.56,13,2244,0.2493,2,220.59,214.80,226.37,11.57,张咸明|徐乐彤,0.5,-24.15,24.15,False,
20mg_3周-ch3,TST,valid,True,205.8,208.6,154.2,21,1417,0.1574,2,247.24,225.83,268.64,42.81,张咸明|徐乐彤,0.25|0.5,-41.44,41.44,False,
20mg_3周-ch4,TST,unknown,False,,,,,9000,1.0000,0,,,,,,,,,,无人工评分 ⇒ 无法比对（不是 0，是没有）
30mg_2周-ch1,TST,valid,True,166.48,165.2,193.52,12,1606,0.1784,2,182.56,176.34,188.78,12.44,张咸明|徐乐彤,0.5,-16.08,16.08,True,
30mg_2周-ch2,TST,valid,True,348.68,348.04,11.32,6,4618,0.5131,2,280.19,272.11,288.26,16.15,张咸明|徐乐彤,0.25|0.5,68.50,68.50,False,
30mg_2周-ch3,TST,valid,True,155.0,158.0,205.0,9,1746,0.1940,2,224.53,220.05,229.00,8.95,张咸明|徐乐彤,0.5,-69.53,69.53,False,
30mg_2周_1-3+20_1周1-ch1,TST,valid,True,281.28,283.4,78.72,12,2812,0.3124,2,259.87,254.89,264.84,9.95,张咸明|徐乐彤,0.5,21.41,21.41,False,
30mg_2周_1-3+20_1周1-ch2,TST,valid,True,307.8,307.8,52.2,14,3088,0.3431,2,263.58,251.73,275.44,23.71,张咸明|徐乐彤,0.5,44.22,44.22,False,
30mg_2周_1-3+20_1周1-ch3,TST,valid,True,219.24,223.16,140.76,21,2490,0.2767,3,253.71,246.48,265.81,19.33,张|张咸明|徐乐彤,0.25|0.5,-34.47,34.47,False,
30mg_2周_1-3+20_1周1-ch4,TST,valid,True,168.44,172.4,191.56,18,1988,0.2209,2,203.07,198.22,207.93,9.71,张咸明|徐乐彤,0.5,-34.63,34.63,False,
30mg_2周_2+20_2周2-ch1,TST,valid,True,271.36,271.32,88.64,15,2479,0.2754,3,250.85,245.30,259.60,14.30,张|张咸明|徐乐彤,0.25|0.5,20.51,20.51,False,
30mg_2周_2+20_2周2-ch2,TST,valid,True,205.2,211.24,154.8,17,2311,0.2568,3,231.50,219.48,242.40,22.92,张|张咸明|徐乐彤,0.25|0.5,-26.30,26.30,False,
30mg_2周_2+20_2周2-ch3,TST,valid,True,139.32,146.76,220.68,13,990,0.1100,2,198.56,184.23,212.88,28.65,张咸明|徐乐彤,0.5,-59.24,59.24,False,
30mg_2周_2+20_2周2-ch4,TST,valid,True,255.68,257.76,104.32,18,1379,0.1532,2,248.91,242.81,255.01,12.20,张咸明|徐乐彤,0.5,6.77,6.77,True,
