trial_id,assay,fps,recording_frames,window_frames,scorable_frames,unknown_frames_window,validity_status,occupied_fraction,scored,immobility_s,immobility_raw_s,mobility_s,mobility_bouts,first_mobility_onset_s,gate_messages,trial_id_raw,_source_csv
10mg_2周-ch1,TST,25.0,9000,9000,7800,1200,valid,1.0,True,143.56,153.4,216.44,16,0.2,,10mg_2周-ch1-ch1,10mg_2周-ch1.csv
10mg_2周-ch2,TST,25.0,9000,9000,6461,2539,valid,1.0,True,240.92,246.68,119.08,25,1.4,,10mg_2周-ch2-ch1,10mg_2周-ch2.csv
10mg_2周-ch3,TST,25.0,9000,9000,6612,2388,valid,1.0,True,253.28,253.96,106.72,18,4.96,,10mg_2周-ch3-ch1,10mg_2周-ch3.csv
10mg_2周-ch4,TST,25.0,9000,9000,8209,791,valid,1.0,True,108.36,117.68,251.64,17,0.2,,10mg_2周-ch4-ch1,10mg_2周-ch4.csv
20mg_1周_1-3+20_2周1-ch1,TST,25.0,9000,9000,7728,1272,valid,1.0,True,150.88,159.92,209.12,18,0.2,,20mg_1周_1-3+20_2周1-ch1-ch1,20mg_1周_1-3+20_2周1-ch1.csv
20mg_1周_1-3+20_2周1-ch2,TST,25.0,9000,9000,6273,2727,valid,1.0,True,220.12,224.96,139.88,17,0.2,,20mg_1周_1-3+20_2周1-ch2-ch1,20mg_1周_1-3+20_2周1-ch2.csv
20mg_1周_1-3+20_2周1-ch3,TST,25.0,9000,9000,8292,708,valid,1.0,True,86.64,104.08,273.36,25,0.2,,20mg_1周_1-3+20_2周1-ch3-ch1,20mg_1周_1-3+20_2周1-ch3.csv
20mg_1周_1-3+20_2周1-ch4,TST,25.0,9000,9000,7269,1731,valid,1.0,True,191.4,190.44,168.6,12,13.84,,20mg_1周_1-3+20_2周1-ch4-ch1,20mg_1周_1-3+20_2周1-ch4.csv
20mg_2周-ch1,TST,25.0,9000,9000,6450,2550,valid,1.0,True,258.24,262.56,101.76,20,10.88,,20mg_2周-ch1-ch1,20mg_2周-ch1.csv
20mg_2周-ch2,TST,25.0,9000,9000,6167,2833,valid,1.0,True,260.36,263.64,99.64,19,0.28,,20mg_2周-ch2-ch1,20mg_2周-ch2.csv
