scorer_id,trial_id,mobile_seconds,tail_climbing,unscoreable,note,scored_at,presentation_order
张咸明,30mg_2周_2+20_2周2-ch1,118.7,false,false,慢放0.5x,2026-09-04,1
张咸明,30mg_2周_2+20_2周2-ch2,144.1,false,false,慢放0.5x,2026-09-04,4
张咸明,30mg_2周_1-3+20_1周1-ch3,114.2,false,false,慢放0.5x,2026-09-04,6
张咸明,20mg_3周-ch4,0.0,false,false,慢放0.5x,2026-09-04,7
张咸明,30mg_2周-ch2,90.8,false,false,慢放0.5x,2026-09-04,9
张咸明,20mg_3周-ch3,138.5,false,false,慢放0.5x,2026-09-04,11
张咸明,20mg_3周-ch2,147.5,false,false,慢放0.5x,2026-09-04,12
张咸明,30mg_2周_1-3+20_1周1-ch2,109.8,false,false,慢放0.5x,2026-09-04,14
张咸明,30mg_2周_2+20_2周2-ch4,119.7,false,false,慢放0.5x,2026-09-04,18
张咸明,30mg_2周-ch3,142.4,false,false,慢放0.5x,2026-09-04,19
张咸明,30mg_2周-ch1,185.3,false,false,慢放0.5x,2026-09-04,21
张咸明,30mg_2周_1-3+20_1周1-ch1,108.5,false,false,慢放0.5x,2026-09-04,22
张咸明,30mg_2周_2+20_2周2-ch3,179.1,false,false,慢放0.5x,2026-09-04,24
张咸明,30mg_2周_1-3+20_1周1-ch4,164.3,false,false,慢放0.5x,2026-09-04,25
