scorer_id,trial_id,mobile_seconds,tail_climbing,unscoreable,note,scored_at,presentation_order
徐乐彤,30mg_2周_2+20_2周2-ch1,102.4,false,false,慢放0.25x,2026-09-02,1
徐乐彤,30mg_2周_2+20_2周2-ch2,119.9,false,false,慢放0.25x,2026-09-02,4
徐乐彤,30mg_2周_1-3+20_1周1-ch3,96.1,false,false,慢放0.25x,2026-09-02,6
徐乐彤,20mg_3周-ch4,0.0,false,false,,2026-09-03,7
徐乐彤,30mg_2周-ch2,73.6,false,false,慢放0.25x,2026-09-03,9
徐乐彤,20mg_3周-ch3,93.6,false,false,慢放0.25x,2026-09-03,11
徐乐彤,20mg_3周-ch2,135.3,false,false,慢放0.5x,2026-09-03,12
徐乐彤,30mg_2周_1-3+20_1周1-ch2,86.3,false,false,慢放0.5x,2026-09-03,14
徐乐彤,30mg_2周_2+20_2周2-ch4,107.5,false,false,慢放0.5x,2026-09-03,18
徐乐彤,30mg_2周-ch3,133.5,false,false,慢放0.5x,2026-09-03,19
徐乐彤,30mg_2周-ch1,173.8,false,false,慢放0.5x,2026-09-03,21
徐乐彤,30mg_2周_1-3+20_1周1-ch1,98.4,false,false,慢放0.5x,2026-09-03,22
徐乐彤,30mg_2周_2+20_2周2-ch3,151.7,false,false,慢放0.5x,2026-09-03,24
徐乐彤,30mg_2周_1-3+20_1周1-ch4,154.1,false,false,慢放0.5x,2026-09-03,25
