scorer_id,trial_id,mobile_seconds,tail_climbing,unscoreable,note,scored_at,presentation_order
王娟,20mg_2周-ch2,130.8,false,false,慢放0.25x,2026-09-03,2
王娟,20mg_1周_1-3+20_2周1-ch2,145.3,false,false,慢放0.5x,2026-09-03,3
王娟,10mg_2周-ch2,124.5,false,false,慢放0.5x,2026-09-03,4
王娟,20mg_2周-ch3,245.3,false,false,慢放0.5x,2026-09-03,6
王娟,10mg_2周-ch4,245.3,false,false,慢放0.5x,2026-09-03,10
王娟,10mg_2周-ch1,170.2,false,false,慢放0.5x,2026-09-03,11
王娟,20mg_1周_1-3+20_2周1-ch1,235.4,false,false,慢放0.5x,2026-09-03,13
王娟,20mg_1周_1-3+20_2周1-ch3,324.1,false,false,慢放0.5x,2026-09-03,14
王娟,20mg_3周-ch1,184.9,false,false,慢放0.5x,2026-09-03,17
王娟,20mg_2周-ch1,177.9,false,false,慢放0.5x,2026-09-03,22
王娟,20mg_1周_1-3+20_2周1-ch4,221.2,false,false,慢放0.5x,2026-09-03,25
王娟,20mg_2周-ch4,180.1,false,false,慢放0.5x,2026-09-03,26
王娟,10mg_2周-ch3,184.3,false,false,慢放0.5x,2026-09-03,27
