scorer_id,trial_id,source,video,chamber,seed,presentation_order,playback_rate,tail_climbing,unscoreable,status,n_hold_segments,holds_unsorted,zero_length_segments,mobile_union_s,immobility_s,mobile_seconds_DISCARDED,naive_inflation_s,per_key_excess_wallclock_s,reject_reason,note,scored_at,warnings
张,30mg_2周_2+20_2周2-ch1,salvaged_csv,30mg_2周_2+20_2周2,1,210593506,1,0.25,False,False,accepted,89,True,3,112.36,247.64,114.51,,0.0966,,慢放0.25x,2026-09-02,union_precomputed_by_salvage_tool
张,30mg_2周_2+20_2周2-ch2,salvaged_csv,30mg_2周_2+20_2周2,2,210593506,4,0.25,False,False,accepted,62,False,0,127.37,232.63,129.54,,0.14,,慢放0.25x,2026-09-02,union_precomputed_by_salvage_tool
张,30mg_2周_1-3+20_1周1-ch3,salvaged_csv,30mg_2周_1-3+20_1周1,3,210593506,6,0.25,False,False,accepted,44,False,0,113.52,246.48,114.88,,0.1236,,慢放0.25x,2026-09-02,union_precomputed_by_salvage_tool
张咸明,30mg_2周_2+20_2周2-ch1,audit_json,30mg_2周_2+20_2周2,1,210593506,1,0.5,False,False,accepted,82,True,0,114.7,245.3,118.69,6.28,0.0973,,慢放0.5x,2026-09-04,naive_sum_inflation>=5s
张咸明,30mg_2周_2+20_2周2-ch2,audit_json,30mg_2周_2+20_2周2,2,210593506,4,0.5,False,False,accepted,46,False,0,140.52,219.48,144.07,,0.1543,,慢放0.5x,2026-09-04,
张咸明,30mg_2周_1-3+20_1周1-ch3,audit_json,30mg_2周_1-3+20_1周1,3,210593506,6,0.5,False,False,accepted,51,False,0,111.16,248.84,114.24,,0.1208,,慢放0.5x,2026-09-04,
张咸明,20mg_3周-ch4,audit_json,20mg_3周,4,210593506,7,0.5,False,False,rejected,0,False,0,,,0.0,,,mobile_seconds==0 且 holds==[] 且 unscoreable==false —— 这是『没评』不是『评出 0』，按 0 入库会得到 immobility=360 s（物理上限）,慢放0.5x,2026-09-04,
张咸明,30mg_2周-ch2,audit_json,30mg_2周,2,210593506,9,0.5,False,False,accepted,41,False,1,87.89,272.11,90.75,,0.1395,,慢放0.5x,2026-09-04,
张咸明,20mg_3周-ch3,audit_json,20mg_3周,3,210593506,11,0.5,False,False,accepted,71,False,0,134.17,225.83,138.5,,0.122,,慢放0.5x,2026-09-04,
张咸明,20mg_3周-ch2,audit_json,20mg_3周,2,210593506,12,0.5,False,False,accepted,36,False,0,145.2,214.8,147.54,,0.13,,慢放0.5x,2026-09-04,
张咸明,30mg_2周_1-3+20_1周1-ch2,audit_json,30mg_2周_1-3+20_1周1,2,210593506,14,0.5,False,False,accepted,26,False,0,108.27,251.73,109.78,,0.1162,,慢放0.5x,2026-09-04,
张咸明,30mg_2周_2+20_2周2-ch4,audit_json,30mg_2周_2+20_2周2,4,210593506,18,0.5,False,False,accepted,46,True,1,117.19,242.81,119.69,4.15,0.1087,,慢放0.5x,2026-09-04,
张咸明,30mg_2周-ch3,audit_json,30mg_2周,3,210593506,19,0.5,False,False,accepted,38,False,0,139.95,220.05,142.43,,0.1305,,慢放0.5x,2026-09-04,
张咸明,30mg_2周-ch1,audit_json,30mg_2周,1,210593506,21,0.5,False,False,accepted,27,True,0,183.66,176.34,185.32,2.04,0.123,,慢放0.5x,2026-09-04,
张咸明,30mg_2周_1-3+20_1周1-ch1,audit_json,30mg_2周_1-3+20_1周1,1,210593506,22,0.5,False,False,accepted,50,False,0,105.11,254.89,108.53,,0.1368,,慢放0.5x,2026-09-04,
张咸明,30mg_2周_2+20_2周2-ch3,audit_json,30mg_2周_2+20_2周2,3,210593506,24,0.5,False,False,accepted,54,False,1,175.77,184.23,179.11,,0.1237,,慢放0.5x,2026-09-04,
张咸明,30mg_2周_1-3+20_1周1-ch4,audit_json,30mg_2周_1-3+20_1周1,4,210593506,25,0.5,False,False,accepted,40,False,0,161.78,198.22,164.34,,0.128,,慢放0.5x,2026-09-04,
徐乐彤,30mg_2周_2+20_2周2-ch1,audit_json,30mg_2周_2+20_2周2,1,210593506,1,0.25,False,False,accepted,60,True,0,100.4,259.6,102.36,1.39,0.1307,,慢放0.25x,2026-09-02,
徐乐彤,30mg_2周_2+20_2周2-ch2,audit_json,30mg_2周_2+20_2周2,2,210593506,4,0.25,False,False,accepted,76,False,0,117.6,242.4,119.88,,0.12,,慢放0.25x,2026-09-02,
徐乐彤,30mg_2周_1-3+20_1周1-ch3,audit_json,30mg_2周_1-3+20_1周1,3,210593506,6,0.25,False,False,accepted,55,False,0,94.19,265.81,96.06,,0.136,,慢放0.25x,2026-09-02,
徐乐彤,20mg_3周-ch4,audit_json,20mg_3周,4,210593506,7,1.0,False,False,rejected,0,False,0,,,0.0,,,mobile_seconds==0 且 holds==[] 且 unscoreable==false —— 这是『没评』不是『评出 0』，按 0 入库会得到 immobility=360 s（物理上限）,,2026-09-03,
徐乐彤,30mg_2周-ch2,audit_json,30mg_2周,2,210593506,9,0.25,False,False,accepted,56,False,0,71.74,288.26,73.59,,0.1321,,慢放0.25x,2026-09-03,
徐乐彤,20mg_3周-ch3,audit_json,20mg_3周,3,210593506,11,0.25,False,False,accepted,65,False,1,91.36,268.64,93.61,,0.1385,,慢放0.25x,2026-09-03,
徐乐彤,20mg_3周-ch2,audit_json,20mg_3周,2,210593506,12,0.5,False,False,accepted,54,True,0,133.63,226.37,135.35,18.07,0.0637,,慢放0.5x,2026-09-03,naive_sum_inflation>=5s
徐乐彤,30mg_2周_1-3+20_1周1-ch2,audit_json,30mg_2周_1-3+20_1周1,2,210593506,14,0.5,False,False,accepted,26,False,0,84.56,275.44,86.3,,0.1338,,慢放0.5x,2026-09-03,
徐乐彤,30mg_2周_2+20_2周2-ch4,audit_json,30mg_2周_2+20_2周2,4,210593506,18,0.5,False,False,accepted,41,False,0,104.99,255.01,107.53,,0.1239,,慢放0.5x,2026-09-03,
徐乐彤,30mg_2周-ch3,audit_json,30mg_2周,3,210593506,19,0.5,False,False,accepted,41,False,0,131.0,229.0,133.53,,0.1234,,慢放0.5x,2026-09-03,
徐乐彤,30mg_2周-ch1,audit_json,30mg_2周,1,210593506,21,0.5,False,False,accepted,46,True,0,171.22,188.78,173.84,1.5,0.1139,,慢放0.5x,2026-09-03,
徐乐彤,30mg_2周_1-3+20_1周1-ch1,audit_json,30mg_2周_1-3+20_1周1,1,210593506,22,0.5,False,False,accepted,51,False,0,95.16,264.84,98.42,,0.1278,,慢放0.5x,2026-09-03,
徐乐彤,30mg_2周_2+20_2周2-ch3,audit_json,30mg_2周_2+20_2周2,3,210593506,24,0.5,False,False,accepted,85,True,0,147.12,212.88,151.71,14.47,0.108,,慢放0.5x,2026-09-03,naive_sum_inflation>=5s
徐乐彤,30mg_2周_1-3+20_1周1-ch4,audit_json,30mg_2周_1-3+20_1周1,4,210593506,25,0.5,False,False,accepted,38,True,0,152.07,207.93,154.07,1.92,0.1053,,慢放0.5x,2026-09-03,
王娟,20mg_2周-ch2,audit_json,20mg_2周,2,973678866,2,0.25,False,False,accepted,55,False,0,129.05,230.95,130.82,,0.1287,,慢放0.25x,2026-09-03,
王娟,20mg_1周_1-3+20_2周1-ch2,audit_json,20mg_1周_1-3+20_2周1,2,973678866,3,0.5,False,False,accepted,20,False,0,144.68,215.32,145.33,,0.065,,慢放0.5x,2026-09-03,
王娟,10mg_2周-ch2,audit_json,10mg_2周,2,973678866,4,0.5,False,False,accepted,31,False,0,122.3,237.7,124.49,,0.1413,,慢放0.5x,2026-09-03,
王娟,20mg_2周-ch3,audit_json,20mg_2周,3,973678866,6,0.5,False,False,accepted,25,False,0,243.77,116.23,245.26,,0.1192,,慢放0.5x,2026-09-03,
王娟,10mg_2周-ch4,audit_json,10mg_2周,4,973678866,10,0.5,False,False,accepted,42,False,0,242.53,117.47,245.25,,0.1295,,慢放0.5x,2026-09-03,
王娟,10mg_2周-ch1,audit_json,10mg_2周,1,973678866,11,0.5,False,False,accepted,54,False,0,166.96,193.04,170.2,,0.12,,慢放0.5x,2026-09-03,
王娟,20mg_1周_1-3+20_2周1-ch1,audit_json,20mg_1周_1-3+20_2周1,1,973678866,13,0.5,False,False,accepted,36,False,0,232.57,127.43,235.4,,0.1572,,慢放0.5x,2026-09-03,
王娟,20mg_1周_1-3+20_2周1-ch3,audit_json,20mg_1周_1-3+20_2周1,3,973678866,14,0.5,False,False,accepted,14,False,0,323.2,36.8,324.09,,0.1271,,慢放0.5x,2026-09-03,
王娟,20mg_3周-ch1,audit_json,20mg_3周,1,973678866,17,0.5,False,False,accepted,32,False,0,182.93,177.07,184.93,,0.125,,慢放0.5x,2026-09-03,
王娟,20mg_2周-ch1,audit_json,20mg_2周,1,973678866,22,0.5,False,False,accepted,33,False,0,175.99,184.01,177.91,,0.1164,,慢放0.5x,2026-09-03,
王娟,20mg_1周_1-3+20_2周1-ch4,audit_json,20mg_1周_1-3+20_2周1,4,973678866,25,0.5,False,False,accepted,31,True,0,219.57,140.43,221.19,9.11,0.1045,,慢放0.5x,2026-09-03,naive_sum_inflation>=5s
王娟,20mg_2周-ch4,audit_json,20mg_2周,4,973678866,26,0.5,False,False,accepted,34,True,0,178.38,181.62,180.05,33.78,0.0982,,慢放0.5x,2026-09-03,naive_sum_inflation>=5s
王娟,10mg_2周-ch3,audit_json,10mg_2周,3,973678866,27,0.5,False,False,accepted,66,True,0,181.76,178.24,184.31,54.78,0.0773,,慢放0.5x,2026-09-03,naive_sum_inflation>=5s
陈璇,20mg_2周-ch2,audit_json,20mg_2周,2,973678866,2,0.5,False,False,accepted,66,True,0,133.69,226.31,136.91,14.91,0.0976,,慢放0.5x,2026-09-03,naive_sum_inflation>=5s
陈璇,20mg_1周_1-3+20_2周1-ch2,audit_json,20mg_1周_1-3+20_2周1,2,973678866,3,0.5,False,False,accepted,23,False,0,135.2,224.8,136.45,,0.1087,,慢放0.5x,2026-09-03,
陈璇,10mg_2周-ch2,audit_json,10mg_2周,2,973678866,4,0.5,False,False,accepted,49,False,0,121.42,238.58,124.07,,0.1082,,慢放0.5x,2026-09-03,
陈璇,20mg_2周-ch3,audit_json,20mg_2周,3,973678866,6,0.5,False,False,accepted,45,True,0,208.53,151.47,212.02,3.78,0.1551,,慢放0.5x,2026-09-03,
陈璇,10mg_2周-ch4,audit_json,10mg_2周,4,973678866,10,0.5,False,False,accepted,90,False,0,189.49,170.51,194.92,,0.1207,,慢放0.5x,2026-09-03,
陈璇,10mg_2周-ch1,audit_json,10mg_2周,1,973678866,11,0.5,False,False,accepted,64,False,0,120.83,239.17,125.59,,0.1488,,慢放0.5x,2026-09-03,
陈璇,20mg_1周_1-3+20_2周1-ch1,audit_json,20mg_1周_1-3+20_2周1,1,973678866,13,1.0,False,False,accepted,40,False,0,230.96,129.04,235.05,,0.1023,,,2026-09-03,
陈璇,20mg_1周_1-3+20_2周1-ch3,audit_json,20mg_1周_1-3+20_2周1,3,973678866,14,1.0,False,False,accepted,22,False,0,317.0,43.0,319.83,,0.1286,,,2026-09-03,
陈璇,20mg_3周-ch1,audit_json,20mg_3周,1,973678866,17,1.0,False,False,accepted,36,False,0,116.14,243.86,120.68,,0.1261,,,2026-09-03,
陈璇,20mg_2周-ch1,audit_json,20mg_2周,1,973678866,22,1.0,False,False,accepted,59,False,0,135.89,224.11,143.5,,0.129,,,2026-09-03,
陈璇,20mg_1周_1-3+20_2周1-ch4,audit_json,20mg_1周_1-3+20_2周1,4,973678866,25,1.0,False,False,accepted,38,False,0,184.3,175.7,189.39,,0.1339,,,2026-09-03,
陈璇,20mg_2周-ch4,audit_json,20mg_2周,4,973678866,26,1.0,False,False,accepted,28,True,0,146.04,213.96,149.83,2.3,0.1354,,,2026-09-03,
陈璇,10mg_2周-ch3,audit_json,10mg_2周,3,973678866,27,1.0,False,False,accepted,48,False,0,132.5,227.5,138.65,,0.1281,,,2026-09-03,
