范式,原视频,CSI用文件,原尺寸,转换后,原帧数,转换后帧数,帧数一致,时长秒,原sha256前16,输出MB
FST,10mg 2周.mp4,FST_10mg_2w_x2.mpg,472x266,944x532,9562,9562,是,382.48,963c4a670628b28f,89.1
FST,20mg 2周.mp4,FST_20mg_2w_x2.mpg,480x270,960x540,9559,9559,是,382.36,b5b583817ed6b641,92.7
FST,20mg1周.mp4,FST_20mg_1w_x2.mpg,472x266,944x532,9517,9517,是,380.68,ba779901598277a0,93.6
FST,抑郁4-7.mp4,FST_dep_4to7_x2.mpg,472x266,944x532,9055,9055,是,362.2,a6d8cf2189211334,86.6
FST,抑郁8-10.mp4,FST_dep_8to10_x2.mpg,470x264,940x528,11689,11689,是,467.56,5a728349a0917d6e,97.1
FST,正常1-4.mp4,FST_ctrl_1to4_x2.mpg,464x262,928x524,9868,9868,是,394.72,b27b176a04f1de14,92.4
FST,正常5+抑郁1-3.mp4,FST_ctrl_5_plus_dep_1to3_x2.mpg,474x266,948x532,9139,9139,是,365.56,87e293c93f251ed7,91.7
TST,10mg 2周.mp4,TST_10mg_2w_x2.mpg,476x268,952x536,9661,9661,是,386.44,8a9770847d484931,80.7
TST,20mg 1周 1-3+20 2周1.mp4,TST_20mg_1w_1to3_plus_20mg_2w_1_x2.mpg,472x266,944x532,11470,11470,是,458.8,11b2361a85c27cc5,92.8
TST,20mg 2周.mp4,TST_20mg_2w_x2.mpg,472x264,944x528,9328,9328,是,373.12,016009f1f5909856,75.7
TST,20mg 3周.mp4,TST_20mg_3w_x2.mpg,464x262,928x524,9895,9895,是,395.8,6322504a20a0d8c4,75.6
TST,30mg 2周 1-3+20 1周1.mp4,TST_30mg_2w_1to3_plus_20mg_1w_1_x2.mpg,466x262,932x524,9229,9229,是,369.16,55f74089039961af,73.3
TST,30mg 2周 2+20 2周2.mp4,TST_30mg_2w_2_plus_20mg_2w_2_x2.mpg,472x266,944x532,9586,9586,是,383.44,f5fef21679c67995,79.2
TST,30mg 2周.mp4,TST_30mg_2w_x2.mpg,484x272,968x544,9721,9721,是,388.84,d4e7d93334b46cc9,75.8
