material_id,assay,role,path,bytes,sha256,codec,width,height,field_order,frames,frames_source,fps_avg_frame_rate,fps_r_frame_rate,duration_s,frames_vs_dur_x_avgfps,pts_count,pts_na,pts_min_s,pts_max_s,pts_spacing_uniform,pts_raw_order_monotonic,derives_from_sha256,derives_from_status,t0_source_s,t0_status,geometry_binding,geometry_binding_status,human_record_ref,human_record_status,usage_group,evidence_status
source:FST:10mg 2周.mp4,FST,source_video,~/Work/heavy/depression/游泳/10mg 2周.mp4,29047553,963c4a670628b28f0858350039c962248c08255e4b25019f0a2e0763a081f95a,h264,472,266,progressive,9562,container,25/1,25/1,382.480000,是,9562,0,0,382.44,是,否,,na,,not_found_in_checked_materials,10mg 2周.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:FST:20mg 2周.mp4,FST,source_video,~/Work/heavy/depression/游泳/20mg 2周.mp4,29768166,b5b583817ed6b641607fc1741ebbede6cba8469f569dc99b9ed04d00c8bb89ac,h264,480,270,progressive,9559,container,25/1,25/1,382.360000,是,9559,0,0,382.32,是,否,,na,,not_found_in_checked_materials,20mg 2周.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:FST:20mg1周.mp4,FST,source_video,~/Work/heavy/depression/游泳/20mg1周.mp4,28854795,ba779901598277a0386f9782c7e35f082f2c6846f9585e5f119fa2251a61d95f,h264,472,266,progressive,9517,container,25/1,25/1,380.680000,是,9517,0,0,380.64,是,否,,na,,not_found_in_checked_materials,20mg1周.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:FST:抑郁4-7.mp4,FST,source_video,~/Work/heavy/depression/游泳/抑郁4-7.mp4,28184338,a6d8cf21892113344861530bb9d9ed9e4677959f13d074650b36058e2d373cb2,h264,472,266,progressive,9055,container,25/1,25/1,362.200000,是,9055,0,0,362.16,是,否,,na,,not_found_in_checked_materials,抑郁4-7.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:FST:抑郁8-10.mp4,FST,source_video,~/Work/heavy/depression/游泳/抑郁8-10.mp4,34817391,5a728349a0917d6eaa68f76c7f766929dca16ac0b57ffedc2f2efc7ba3c4ca2b,h264,470,264,progressive,11689,container,25/1,25/1,467.560000,是,11689,0,0,467.52,是,否,,na,,not_found_in_checked_materials,抑郁8-10.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:FST:正常1-4.mp4,FST,source_video,~/Work/heavy/depression/游泳/正常1-4.mp4,30613515,b27b176a04f1de14303719c44706bec5b25dad02108e8eec252fa9f8276f16c8,h264,464,262,progressive,9868,container,25/1,25/1,394.720000,是,9868,0,0,394.68,是,否,,na,,not_found_in_checked_materials,正常1-4.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:FST:正常5+抑郁1-3.mp4,FST,source_video,~/Work/heavy/depression/游泳/正常5+抑郁1-3.mp4,26987923,87e293c93f251ed7777cd8f6001dd702c8d240ba88d608bf204fc91eed90a186,h264,474,266,progressive,9139,container,25/1,25/1,365.560000,是,9139,0,0,365.52,是,否,,na,,not_found_in_checked_materials,正常5+抑郁1-3.CLB,bound_by_filename_only,data/human_scores/manifests/FST全程_视频清单_给评分员.csv,pointer_only_joins_by_filename,historical_or_dev_validation,artifact_checked
source:TST:10mg 2周.mp4,TST,source_video,~/Work/heavy/depression/悬尾/10mg 2周.mp4,30305363,8a9770847d48493103fa234f13aa0790670f35150cadb8f1ed4364f6f1c3ba3b,h264,476,268,progressive,9661,container,25/1,25/1,386.440000,是,9661,0,0,386.4,是,否,,na,,na_tst_no_water_entry,10mg 2周.CLB,bound_by_filename_only,,none_recorded,historical_or_dev_validation,artifact_checked
source:TST:20mg 1周 1-3+20 2周1.mp4,TST,source_video,~/Work/heavy/depression/悬尾/20mg 1周 1-3+20 2周1.mp4,35847587,11b2361a85c27cc5e1a023b7396b1438032524d51623aa24d47f9b77ac80fd55,h264,472,266,progressive,11470,container,25/1,25/1,458.800000,是,11470,0,0,458.76,是,否,,na,,na_tst_no_water_entry,20mg 1周 1-3+20 2周1.CLB,bound_by_filename_only,,none_recorded,historical_or_dev_validation,artifact_checked
source:TST:20mg 2周.mp4,TST,source_video,~/Work/heavy/depression/悬尾/20mg 2周.mp4,28943603,016009f1f59098562d7010f19dee29517d08e0b571a82ec383bce82e24790e61,h264,472,264,progressive,9328,container,25/1,25/1,373.120000,是,9328,0,0,373.08,是,否,,na,,na_tst_no_water_entry,20mg 2周.CLB,bound_by_filename_only,,none_recorded,historical_or_dev_validation,artifact_checked
